valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,type_local,jour_semaine,jours_depuis_achat
229000.0,64.0,2.0,5.791164,45.139141,Appartement,4,339
151500.0,54.0,2.0,5.711105,45.181912,Appartement,1,342
62000.0,66.0,3.0,5.702079,45.144146,Appartement,0,343
110000.0,65.0,4.0,5.766423,45.18384,Appartement,4,339
157000.0,100.0,5.0,5.708358,45.173086,Appartement,0,336
105000.0,65.0,4.0,5.711579,45.163447,Appartement,2,334
147800.0,80.0,4.0,5.720325,45.166004,Appartement,3,340
138800.0,75.0,2.0,5.715467,45.178643,Appartement,3,340
138000.0,52.0,2.0,5.717319,45.181981,Appartement,1,342
190000.0,79.0,4.0,5.747556,45.185345,Appartement,2,341
640000.0,153.0,7.0,5.84665,45.25898,Maison,3,333
640000.0,153.0,7.0,5.84665,45.25898,Maison,3,333
183000.0,88.0,4.0,5.698547,45.141669,Appartement,1,335
193331.0,83.0,4.0,5.711777,45.171798,Appartement,4,339
165500.0,46.0,2.0,5.741868,45.14329,Appartement,3,340
203650.0,64.0,2.0,5.723732,45.18128,Appartement,2,341
163000.0,90.0,4.0,5.702184,45.151535,Appartement,0,343
77000.0,53.0,3.0,5.749955,45.165699,Appartement,3,326
124000.0,49.0,3.0,5.709211,45.178078,Appartement,3,340
122500.0,73.0,3.0,5.766958,45.172744,Appartement,3,326
142000.0,53.0,3.0,5.707693,45.181994,Appartement,3,333
134000.0,38.0,1.0,5.730933,45.192644,Appartement,3,333
44500.0,16.0,1.0,5.747267,45.180807,Appartement,4,325
83000.0,84.0,5.0,5.719941,45.170847,Appartement,4,325
135000.0,65.0,1.0,5.716101,45.181666,Appartement,0,336
127000.0,67.0,3.0,5.708816,45.188816,Appartement,1,335
90000.0,24.0,1.0,5.716855,45.192612,Appartement,3,319
346000.0,65.0,3.0,5.758106,45.201451,Maison,2,320
135000.0,50.0,2.0,5.713341,45.181761,Appartement,1,342
318600.0,104.0,5.0,5.709776,45.193315,Appartement,4,325
191400.0,77.0,4.0,5.745822,45.16049,Appartement,3,326
186300.0,67.0,4.0,5.764316,45.208054,Appartement,4,332
247000.0,75.0,4.0,5.7468,45.18266,Appartement,3,319
110000.0,50.0,2.0,5.717916,45.178869,Appartement,3,319
586300.0,136.0,5.0,5.788385,45.220297,Maison,2,320
160000.0,56.0,2.0,5.707759,45.186821,Appartement,3,326
129000.0,42.0,2.0,5.711595,45.18568,Appartement,3,333
555750.0,99.0,4.0,5.744182,45.206577,Appartement,2,320
413500.0,132.0,5.0,5.723271,45.18426,Appartement,0,315
134000.0,56.0,3.0,5.714571,45.171152,Appartement,3,312
114300.0,39.0,2.0,5.707201,45.181639,Appartement,2,320
485000.0,118.0,6.0,5.8062,45.234733,Maison,4,311
379625.0,104.0,3.0,5.765203,45.212098,Appartement,3,312
326000.0,57.0,3.0,5.766147,45.21115,Maison,0,322
136000.0,36.0,1.0,5.716954,45.187678,Appartement,1,314
216600.0,55.0,2.0,5.728752,45.195227,Appartement,2,313
215200.0,66.0,3.0,5.75521,45.202011,Appartement,1,314
77070.0,20.0,1.0,5.75117,45.18622,Appartement,3,305
